graph_name,red_endpoints_l2_05,blue_endpoints_l2_05,red_staircases_l2_05,blue_staircases_l2_05,total_staircases_l2_05,red_staircases_l2_0,blue_staircases_l2_0,total_staircases_l2_0,number_of_nodes,number_of_edges,total_red_nodes,total_blue_nodes,avg_degree,max_degree,density
partitioned_grafo1000.14,14,10,2,2,4,5,0,5,14,20,9,5,2.8571,8,0.2198
partitioned_grafo10000.38,15,27,3,4,7,0,0,0,38,52,9,29,2.7368,5,0.074
partitioned_grafo10001.32,12,12,2,2,4,8,0,8,32,32,20,12,2,5,0.0645
partitioned_grafo10002.40,0,0,0,0,0,0,0,0,40,45,18,22,2.25,7,0.0577
partitioned_grafo10003.40,30,12,5,2,7,4,9,13,40,50,18,22,2.5,8,0.0641
partitioned_grafo10004.32,14,16,2,3,5,2,7,9,32,37,9,23,2.3125,8,0.0746
partitioned_grafo10005.39,13,65,2,11,13,2,11,13,39,49,15,24,2.5128,7,0.0661
partitioned_grafo10006.98,0,0,0,0,0,0,0,0,98,136,67,31,2.7755,9,0.0286
partitioned_grafo10007.31,22,20,4,3,7,7,4,11,31,34,17,14,2.1935,7,0.0731
partitioned_grafo10008.42,75,9,13,1,14,17,1,18,42,61,37,5,2.9048,9,0.0708
partitioned_grafo10009.31,27,27,4,5,9,4,5,9,31,37,17,14,2.3871,4,0.0796
partitioned_grafo1001.12,0,0,0,0,0,0,0,0,12,12,4,8,2,4,0.1818
partitioned_grafo10010.39,11,61,1,11,12,1,11,12,39,50,16,23,2.5641,8,0.0675
partitioned_grafo10011.31,27,27,4,5,9,4,5,9,31,36,17,14,2.3226,4,0.0774
partitioned_grafo10012.40,1,77,0,13,13,0,16,16,40,53,6,34,2.65,6,0.0679
partitioned_grafo10013.31,27,27,4,5,9,4,5,9,31,36,17,14,2.3226,4,0.0774
partitioned_grafo10014.39,9,57,1,9,10,1,9,10,39,52,7,32,2.6667,6,0.0702
partitioned_grafo10015.39,25,29,4,5,9,6,9,15,39,45,15,24,2.3077,7,0.0607
partitioned_grafo10016.39,6,54,1,9,10,1,9,10,39,52,16,23,2.6667,8,0.0702
partitioned_grafo10017.96,0,0,0,0,0,0,0,0,96,140,18,78,2.9167,8,0.0307
partitioned_grafo10018.31,8,10,1,2,3,1,10,11,31,36,6,25,2.3226,8,0.0774
partitioned_grafo10019.38,24,24,4,4,8,0,0,0,38,47,25,13,2.4737,5,0.0669
